Name;Address;Phone;E-Mail;Web Site;Longitude;Latitude;SAP ID;ZNL_5000;ZNL_5410;ZNL_5413
Bokhorst Installatietechniek B.V.;Benedenrijweg 162 / 2987 VB RIDDERKERK / NL;+31 180 200010;#;www.bokhorst.com;458.526.100.000.000;5.189.426.180.000.000;300046450;1;1;1
Bonarius Midden-Nederland;Otto Hahnweg 26 / 3542 AX UTRECHT / NL;+31 (35) 751 86 00;utrecht@bonarius.com;www.bonarius.com;505.542.000.000.000;5.211.705.000.000.000;300052916;1;1;1
Bonarius Oost-Nederland;Hondiusstraat 24F / 6827 DE ARNHEM / NL;+31 (26) 204 00 40;arnhem@bonarius.com;www.bonarius.com;592.820.000.000.000;5.197.451.000.000.000;300052871;1;1;1
Bonarius Service B.V.;Zwanenburgerdijk 291 / 1161 NL ZWANENBURG / NL;+31 204074900;info@bonarius.com;www.bonarius.com;473.211.750.000.000;5.238.584.660.000.000;10063341;1;1;1
Bonarius Zuid-Holland;Moezel 13-15 / 2491 CV DEN HAAG / NL;+31 (70) 750 63 00;denhaag@bonarius.com;www.bonarius.com;450.731.670.000.000;5.203.526.620.000.000;300042243;1;1;1
Bongers van Dieten Installatie-;Zeelandsedreef 20 / 5374 RR Schaijk / NL;#;info@bongersvandieteninstallaties.nl;#;564.741.000.000.000;5.172.418.000.000.000;300078930;1;1;
Boogaard Duurzame Energie;Sud 14 / 8711 CV WORKUM / NL;+31 515542770;info@boogaardinstallatie.nl;www.boogaardinstallatie.nl;544.169.760.000.000;5.297.866.120.000.000;11137417;1;1;1
Boonstra;Seedûker 7 / 9051 VB STIENS / NL;+31 (58) 257 46 89;info@boonstra-installaties.nl;www.boonstra-installaties.nl;575.068.690.000.000;5.326.762.570.000.000;300049191;1;1;1
Bosman Installatietechniek;Van Goghstraat 7 / 7844 NP VEENOORD / NL;+31 (591) 55 15 93;info@bosmaninstallatietechniek.nl;www.bosmaninstallatietechniek.nl;684.873.490.000.000;5.271.619.710.000.000;300049438;1;1;1
Breman Service Weert B.V.;Industriekade 45 / 6006 SJ WEERT / NL;+31 495583283;#;#;567.695.260.000.000;5.124.767.990.000.000;10063477;1;;1
CLB;Bloemkwekersstraat 72-78 / 3014 PE ROTTERDAM / NL;+31 10-4360783;info@clbrotterdam.nl;www.clbrotterdam.nl;446.860.480.000.000;5.191.678.650.000.000;300053055;1;1;
CVI Texel B.V.;Spinbaan 8 / 1791 MC DEN BURG / NL;+31 222313703;info@cvi-texel.nl;www.cvi-texel.nl;479.918.560.000.000;5.306.107.910.000.000;10063036;1;1;1
Carool Installatiebedrijf;Elsbosweg 39 / 7381 BH KLARENBEEK / NL;+31 555429806;info@carooliinstallatiebedrijf.nl;www.caroolinstallatiebedrijf.nl;605.453.790.000.000;5.216.985.780.000.000;11038984;1;1;1
Centragas van Galen B.V.;Mollerusweg 2-6 / 2031 BZ HAARLEM / NL;+31 235513838;#;#;466.226.570.000.000;5.239.246.810.000.000;11030372;1;1;1
Cevesin Klimaattechniek B.V.;Industrielaan 14 / 6951 KG DIEREN / NL;+31 313428333;info@cevesin.nl;www.cevesin.nl;610.213.740.000.000;5.205.789.040.000.000;11025803;;1;
ComfortServices;Afrikastraat 22 / 6014 CG ITTERVOORT / NL;+31 475-567666;#;www.interduct.nl/bedrijf/comfortservices;583.606.470.000.000;5.118.029.910.000.000;11006601;1;1;1
DHG Nederland BV;Hofdwarsweg 17-21 / 6161 DE GELEEN / NL;+31 (46) 474 28 06;info@dhgnederland.nl;www.dhgnederland.nl;581.830.690.000.000;5.096.072.980.000.000;300046232;1;;1
Daan Installatietechniek;Molenwerf 8k / 1911 DB UITGEEST / NL;+31 620321444;info@daaninstallatietechniek.nl;www.daaninstallatietechniek.nl;471.927.400.000.000;5.253.043.790.000.000;300053220;1;1;1
De Bruijn Installatiewerken;Kraaihei 40 / 4715 RV RUCPHEN / NL;+31 165820981;#;#;458.038.300.000.000;5.153.680.000.000.000;11138227;;1;
De Elementen B.V.;Veemarkt 132 / 1019 DE AMSTERDAM / NL;+31 208204242;info@deelementen.nl;www.deelementen.nl;493.874.600.000.000;5.236.840.260.000.000;11044059;1;1;1
De Graaf Installaties B.V.;Energieweg 2 / 3751 LT BUNSCHOTEN-SPAKENBUG / NL;+31 332982088;info@degraafinstallaties.nl;www.degraafinstallaties.nl/;537.821.700.000.000;5.223.183.100.000.000;11029454;1;1;1
De Kempen Installaties;Schutsboom 36 / 5571 MS BERGEYK / NL;+31 (497) 78 02 27;#;www.dekempeninstallaties.nl;537.513.530.000.000;5.132.451.690.000.000;300054623;1;1;
De Leeuw Installaties BV;Noordermorssingel 13 / 7461 JP RYSSEN / NL;+31 548540400;info@deleeuwinstallaties.nl;www.deleeuwinstallaties.nl;651.373.580.000.000;5.232.069.940.000.000;10063255;1;1;1
De Vreeden Installatietechniek B.V.;Xenonweg 5 / 3812 SZ AMERSFOORT / NL;+31 334700300;#;#;535.179.250.000.000;5.216.537.920.000.000;11039994;1;1;1
De ventilatiemeester;Weth. Timmermanstraat 7a / 7951 SH STAPHORST / NL;+31 522 465302;info@deventilatiemeester.nl;www.deventilatiemeester.nl;621.191.460.000.000;5.263.309.790.000.000;300048593;1;1;1
Derks-Diepenbroek B.V.;Rietdekkersweg 6 / 3449 JC WOERDEN / NL;+31 348 41 19 02;#;www.derks-diepenbroek.nl;485.620.680.000.000;5.208.525.450.000.000;300043522;1;1;1
Dibo Installatie Techniek;Schipperslaan 4 / 1906 BG LIMMEN / NL;+31 725052724;info@dibolimmen.nl;www.dibolimmen.nl;469.490.850.000.000;5.257.867.150.000.000;10063158;1;1;1
Donker Veenstra;De Giek 16 / 9206 AT DRACHTEN / NL;+31 850711848-07 11 848;info@donkerveenstra.nl;www.donkerveenstra.nl;607.500.680.000.000;5.311.453.730.000.000;300044645;1;1;1
Dries-Rolde;Gieterstraat 51 / 9451 TE ROLDE / NL;+31 (592) 24 21 54;info@driesrolde.nl;www.driesrolde.nl;665.650.620.000.000;5.298.831.560.000.000;300044124;1;1;1
ELV Installatietechniek;Pater Vervoortstraat 37 / 5465 RT VEGHEL / NL;+31 41 330 03 42-330 03 42;#;#;554.562.620.000.000;5.159.368.130.000.000;300050213;1;1;1
Elite Ventilatie;Marconieweg 2 a/b / 4131 PD VIANEN UT / NL;+31 347326206;#;www.elite-ventilatie.nl;509.248.470.000.000;5.197.618.960.000.000;300045598;1;;1
Eltag Electric B.V.;Pompmolenlaan 27 / 3447 GK WOERDEN / NL;+31 348415814;#;#;488.926.730.000.000;5.207.481.070.000.000;10063101;1;1;1
Energie Service Friesland BV;De Werf 1 / 8447 GD Heerenveen / NL;+31 513611300;#;www.energieservice.nl;589.748.340.000.000;5.297.096.950.000.000;11041603;1;1;1
Eska Onderhoudstechniek B.V.;Stockholm 15 / 2993 LM BARENDRECHT / NL;+31 884009750;#;www.eskaventilatieonderhoud.nl;451.022.050.000.000;5.185.036.380.000.000;300043705;1;1;1
Fris! Ventilatietechniek;Maarsseveensevaart 88 / 3601 CG MAARSSEN / NL;+31 346570114;info@frisventilatie.nl;www.frisventilatie.nl;505.832.750.000.000;5.214.407.860.000.000;11041260;1;1;1
G. Metselaar BV;Weg en Bos 33 d / 2661 DL BERGSCHENHOEK / NL;+31 10 22 20 02;#;www.gerardmetselaar.nl;450.614.990.000.000;5.198.047.200.000.000;300050827;1;1;1
Gebr. Beije BV;Wilgenstraat 3 / 4307 DA OOSTERLAND / NL;+31 111 64 15 09;#;#;403.392.160.000.000;5.165.357.200.000.000;11139037;;1;
Gebr. Janssen B.V.;Hagelkruisstraat 6 / 5835 BD BEUGEN / NL;+31 485369696;#;#;594.149.110.000.000;5.167.327.600.000.000;10063333;1;1;
Gebr. Kok B.V.;Zuiderwijzend 2 / 1616 LH HOOGKARSPEL / NL;+31 228561201;#;www.gebrkok.nl;518.837.190.000.000;5.268.876.230.000.000;300057372;1;1;1
Gerrits Techniek & Advies;Verlengde gildenweg 11 / 8304 BK EMMELOORD / NL;+31 6-16712252;info@gerritstechniekenadvies.nl;www.gerritstechniekenadvies.nl;574.750.100.000.000;5.268.807.430.000.000;300048461;1;1;1
Gerritsen Installatiebedrijf;Veldhoek 17 / 6741 MP LUNTEREN / NL;+31 342415155;info@gerritseninstallatietechniek.nl;www.gerritseninstallatietechniek.nl;557.710.460.000.000;5.210.806.550.000.000;11034059;;1;
Gerritsjans Installatiebedrijf;De Dinkel 3 / 7491 MK DELDEN / NL;+31 (74) 3767176;info@gerritsjansinstallatiebedrijf.nl;www.gerritsjansinstallatiebedrijf.nl;670.199.920.000.000;5.225.370.130.000.000;300048458;;1;
Gevers Installatiebureau BV;De Ketting 10 / 5261 LJ VUGHT / NL;+31 736562971;#;https://www.gevers-vught.nl/;529.487.260.000.000;5.164.224.180.000.000;11043345;1;1;
Giesen Installatie;Rijksweg 11B / 5854 AR BERGEN / NL;+31 485348050;#;#;604.980.990.000.000;5.160.145.460.000.000;11136799;1;1;1
Gunst Warmtetechniek;Margaretha van Hennebergweg 61B / 2552 BD S GRAVENHAGE / NL;+31 703099726;#;#;424.005.460.000.000;5.204.649.390.000.000;11029350;1;;
H. de Bont B.V.;Maidstone 44 / 5026 SK TILBURG / NL;+31 135356135;#;#;504.915.940.000.000;5.153.044.270.000.000;10063069;1;1;1
HM Installaties B.V.;Minkmaatstraat 112 / 7514 EG ENSCHEDE / NL;+31 534778383;info@hminstallaties.nl;www.hminstallaties.nl;690.349.160.000.000;5.222.768.380.000.000;11135844;1;1;1
Harwig Installatiegroep bv;Atlantis 3 / 7821 AX EMMEN / NL;+31 (591) 65 67 69;info@harwig.nl;www.harwig.nl;691.522.870.000.000;5.277.631.090.000.000;300042944;1;1;1
Heating Service B.V.;Weijland 70 / 2415 BD NIEUWERBRUG / NL;+31 348688777;#;#;481.264.690.000.000;5.207.912.690.000.000;10063484;1;1;
Heesmans Installatie Techniek;Brandevoortse Dreef 101 / 5706 SL HELMOND / NL;+31 492661352;#;#;562.791.280.000.000;5.145.473.240.000.000;11031867;1;1;1
Hemmes Installatietechniek;Monierweg 5A / 7741 KV COEVORDEN / NL;+31 524512640;info@hemmes.nl;www.hemmes.nl;673.046.090.000.000;5.265.672.420.000.000;11044384;1;1;1
Hendriksen installateert &;Koningsweg 217A / 7102 DT Winterswijk / NL;+31 543-513314;info@hendriksenbv.nl;www.hendriksenbv.nl;671.455.000.000.000;5.196.420.000.000.000;11140823;1;1;1
;Vulcaanstraat 4 / 7061 AX TERBORG / NL;#;info@hendriksenbv.nl;www.hendriksenbv.nl;635.428.550.000.000;5.191.974.860.000.000;11138486;1;1;1
Hi-Tech Services van Egdom;Lunterseweg 90 / 6718 WH EDE GLD / NL;+31 318482444;info@hitech-vanegdom.nl;www.hitech-vanegdom.nl;563.415.710.000.000;5.207.082.140.000.000;300044329;;1;
Hol Installatietechniek;Veenweideweg 9 / 2957 LD NIEUW LEKKERLAND / NL;+31 184683300;#;www.holbv.nl;469.541.140.000.000;5.188.783.400.000.000;11029558;1;1;1
Hoppenbrouwers Techniek Almelo;Bleskolksingel 5 / 7602 PE ALMELO / NL;+31 546488888;almelo@hoppenbrouwers.nl;www.hoppenbrouwerstechniek.nl;665.164.700.000.000;5.237.377.840.000.000;11029386;1;1;1
HulstFlier Installateurs;Gasthuisdijk 13 / 8041 AE ZWOLLE / NL;+31 384211031;zwolle@hulstflier.nl;www.hulstflier.nl;607.179.170.000.000;5.251.826.430.000.000;11135409;1;1;1
;Robbertsmatenstraat 15 / 8081 HL ELBURG / NL;+31 525681210;info@hulstflier.nl;www.hulstflier.nl;583.456.100.000.000;5.245.563.030.000.000;10063291;1;1;1
ID-Light Installatietechniek;Koolmand 9 / 1724 BC OUDKARSPEL / NL;+31 (226) 320 500;info@idlight.nl;#;478.551.680.000.000;5.270.363.020.000.000;300051664;1;1;1
IMP Putten;Industrieweg 12-7 / 3881 LB PUTTEN / NL;+31 (341) 745 263;info@impputten.nl;www.impputten.nl;558.285.230.000.000;5.226.745.410.000.000;300052218;1;1;1
ITBB Service en Onderhoud;It Dok 19 / 8447 GL HEERENVEEN / NL;+31 513650088;info@itbb.nl;www.itbb.nl;589.301.440.000.000;5.297.293.950.000.000;300043788;1;1;1
Igrotech Installatietechniek B.V.;It Butlan 21 / 8621 DV HEEG / NL;+31 6-29592431;info@igrotech.nl;www.igrotech.nl;561.980.850.000.000;5.297.059.070.000.000;300052099;1;1;1
Inst bedrijf Koen van Kilsdonk;Steegeindstraat 2a / 5396 NN LITHOIJEN / NL;+31 6-53630886;#;#;546.304.970.000.000;5.179.841.610.000.000;300043545;1;1;1
Installatie Techniek;Boeierstraat 7 / 8102 HS RAALTE / NL;+31 572353225;info@installatietechniekraalte.nl;www.www.installatietechniekraalte.nl;629.234.830.000.000;5.237.914.130.000.000;10063492;1;1;1
Installatie Techniek Fryslan;Jacob van Tuinenstrjitte 14 / 9041 CL BERLIKUM / NL;+31 6-27082022;info@installatietechniekfryslan.nl;www.installatietechniekfryslan.nl;566.611.930.000.000;5.321.521.670.000.000;300043783;1;1;1
Installatiebedrijf;Fahrenheitstraat 4 / 7461 JA RYSSEN / NL;+31 548514411;info@vandamgroep.com;/www.vandamgroep.com/particulier;652.432.180.000.000;5.231.600.590.000.000;10063372;1;1;1
;Hoofdstraat 127 / 3781 AD VOORTHUIZEN / NL;+31 (342) 47 21 38;info@installatiebedrijfsimon.nl;www.installatiebedrijfsimon.nl;560.191.870.000.000;5.218.504.120.000.000;300057865;1;1;1
Installatiebedrijf A. Tromp;Kerkweg 1 / 7361 BD BEEKBERGEN / NL;+31 555061583;post@tromp.nl;www.atromp.nl;596.135.150.000.000;5.216.091.970.000.000;11134738;;1;
Installatiebedrijf Bevelander;Stevinweg 19 / 4691 SM THOLEN / NL;+31 166603155;#;#;409.106.300.000.000;5.154.605.650.000.000;11045296;1;1;1
Installatiebedrijf Bierings B.V.;De Buskes 12 / 5087 MA DIESSEN / NL;+31 134633110;#;https://www.abierings.nl/;517.097.730.000.000;5.147.931.830.000.000;300044707;1;1;1
Installatiebedrijf De Wijnbergen;Korte Veenteweg 8 / 8161 PC EPE / NL;+31 578662880;info@dewijnbergen.nl;www.dewijnbergen.nl;599.254.990.000.000;5.234.868.460.000.000;11041128;1;1;1
Installatiebedrijf Dick Sjabbens BV;Hoofdstraat 35 / 7981 AD DIEVER / NL;+31 521591994;info@dick-sjabbens.nl;www.dick-sjabbens.nl;631.602.280.000.000;5.285.667.000.000.000;11010961;1;1;1
Installatiebedrijf Floor B.V.;Industrieweg 23 / 4104 AP CULEMBORG / NL;+31 345571303;#;www.installatiebedrijf-floor.nl;521.690.520.000.000;5.194.121.370.000.000;11046219;1;1;1
Installatiebedrijf Heegstra;Hoofdstraat 8 / 9003 LH Warten / NL;+31 582551241;info@heegstra.nl;www.heegstra.nl;589.932.000.000.000;5.315.065.000.000.000;300070976;1;1;1
Installatiebedrijf Hoekstra;Mercurius 17 / 8448 GX HEERENVEEN / NL;+31 513631717;info@hoekstra-heerenveen.nl;www.hoekstra-heerenveen.nl;592.673.790.000.000;5.297.119.800.000.000;11136306;1;1;1
Installatiebedrijf Huisman BV;Produksjewei 1 / 8501 XD JOURE / NL;+31 513412572;info@huismaninstallatietechniek.nl;www.huismaninstallatietechniek.nl;581.707.340.000.000;5.296.481.690.000.000;11038710;1;1;1
Installatiebedrijf Jansen &;Kleine Veld 15 / 7751 BG DALEN / NL;+31 (524) 55 82 80;info@jansenmeppelink.nl;www.jansenmeppelink.nl;675.591.150.000.000;5.270.766.910.000.000;300042177;1;1;1
Installatiebedrijf John van Neer;St. Jorisstraat 31 / 6101 CA ECHT / NL;+31 475483391;#;http://www.johnvanneer.nl/;587.150.640.000.000;5.110.766.490.000.000;11039887;1;1;1
Installatiebedrijf Jules Otgens;Bakelsedijk 62 / 5701 HD HELMOND / NL;+31 492545741;info@julesotgens.nl;https://www.julesotgens.nl/;567.269.490.000.000;5.148.320.500.000.000;11046173;1;1;1
Installatiebedrijf Montec BV;Aarhusweg 4-14 / 9723 JJ GRONINGEN / NL;+31 505446800;info@montecbv.nl;www.montecbv.nl;661.966.670.000.000;5.321.092.410.000.000;11043552;1;1;1
Installatiebedrijf Otte BV;Edisonstraat 12 / 8606 JJ SNEEK / NL;+31 515413531;info@pranger-rosier.nl;www.otte-installaties.nl;568.905.010.000.000;5.301.889.260.000.000;300055186;1;1;1
Installatiebedrijf P. Bruijn;Flemingstraat 37 / 1704 SL HEERHUGOWAARD / NL;+31 725760730;info@pietbruijn.nl;www.pietbruijn.nl;482.959.270.000.000;5.269.506.360.000.000;11027571;1;1;1
Installatiebedrijf P. De Bonth bv;Vimmerik 2N / 5253 CB NIEUWKUYK / NL;+31 73-5114344;#;https://www.pdebonthbv.nl/;517.411.080.000.000;5.169.445.760.000.000;11026891;1;1;1
Installatiebedrijf Peter van Gaal;Wertsteeg 23 / 5258 TA BERLICUM / NL;#;#;#;541.066.970.000.000;5.168.234.360.000.000;11139728;1;1;1
Installatiebedrijf Ranzijn;Fluorietweg 19D / 1812 RR ALKMAAR / NL;+31 725158717;#;www.ranzijnalkmaar.nl;474.274.500.000.000;5.260.160.000.000.000;300046487;1;1;1
Installatiebedrijf Ron Burger;De Huisweid 13 / 1749 EL WARMENHUIZEN / NL;+31 226393747;ronburger@rbinstallatie.nl;www.rbinstallatie.nl;473.216.100.000.000;5.272.407.100.000.000;11138242;1;1;1
Installatiebedrijf Van Lieshout;De Amert 98 / 5462 GH VEGHEL / NL;+31 413344043;#;www.van-lieshout.nl;552.335.840.000.000;5.161.983.080.000.000;300050044;1;1;1
Installatiebedrijf Van Veldhuizen;Pascalweg 15 / 8071 SE NUNSPEET / NL;+31 341252221;info@veldhuizenenergie.nl;www.veldhuizenenergie.nl;576.531.050.000.000;5.237.457.000.000.000;11135203;1;1;1
Installatiebedrijf Van der Pas;Groenendal 17 / 5405 AS UDEN / NL;+31 (413) 31 05 71;info@installatiebedrijfvanderpas.nl;www.installatiebedrijfvanderpas.nl;564.216.490.000.000;5.164.892.600.000.000;300055653;1;1;
Installatiebedrijf Verspeek;Dorpsstraat 96 / 5556 VL VALKENSWAARD / NL;+31 402068910-2068910;#;www.installatiebedrijfverspeek.nl;545.318.170.000.000;5.129.654.950.000.000;300052295;1;1;
Installatiebedrijf Visser;Noorderweg 185A / 1676 GM TWISK / NL;+31 227-541596;#;www.installatiebedrijfvisser.nl;506.699.200.000.000;5.274.762.260.000.000;11035489;1;1;1
Installatiebedrijf Welin B.V.;Groot Overeem 9A 16 / 9327 GH RENSWOUDE / NL;+31 343480119;info@welin.nl;www.welin.nl;551.297.100.000.000;5.205.565.270.000.000;11040963;1;1;1
Installatiebureau Kon;Sluisweg 2C / 3371 EV HARDINXVELD GIESSENDAM / NL;+31 184633850;#;#;485.498.520.000.000;5.182.184.770.000.000;11031886;1;1;1
Installatieburo Woudhuizen BV;Elburgerweg 60 / 7345 EE WENUM WIESEL / NL;+31 553121760;info@woudhuizenbv.nl;www.woudhuizenbv.nl;593.374.250.000.000;5.227.166.630.000.000;11043858;1;1;1
Installatietechniek Drachten BV;Helmhout 45 / 9206 AZ DRACHTEN / NL;+31 512 541030;info@itdbv.nl;www.itdbv.nl;607.259.440.000.000;5.311.901.460.000.000;300043792;1;1;1
Installatietechniek Driessen Oss;Etruskenweg 24 / 5349 AZ OSS / NL;+31 412-650991;#;#;555.820.830.000.000;5.176.438.450.000.000;300044125;1;1;
Installatietechniek Hartog B.V.;Wolfskuilseweg 267 / 6542 AA NIJMEGEN / NL;+31 (24) 377 15 92;info@hartogbv.nl;www.hartogbv.nl;582.736.060.000.000;5.184.332.070.000.000;300043710;1;1;1
Installatietechniek Van Eersel B.V.;Ommelseweg 57 / 5721 WT ASTEN / NL;+31 493696455;#;#;574.786.140.000.000;5.141.425.370.000.000;11035675;1;1;
J. Woldhuis B.V.;Voorburggracht 208 / 1722 GV ZUID SCHARWOUDE / NL;+31 226317374;info@woldhuis.nl;www.totaal-installatie.nl;480.824.840.000.000;5.269.456.070.000.000;11042116;1;1;1
J. van den Burg B.V.;Vennestraat 11 / 2161 LE LISSE / NL;+31 252212428;#;#;455.214.420.000.000;5.225.017.130.000.000;10063203;1;1;1
JF Totaaltechniek;Erfgooiersstraat 233 / 1222 AK HILVERSUM / NL;+31 6-81349609;info@jftotaaltechniek.nl;www.jftotaaltechniek.nl;518.449.990.000.000;5.224.156.970.000.000;300051434;1;1;1
JR Techniek;Utrechtsestraatweg 17a / 3481 LA HARMELEN / NL;+31 (348) 443401;info@jrtechniek.nl;www.jrtechniek.nl;498.583.510.000.000;5.208.887.700.000.000;300042254;1;;
Jef Wouters Installaties;Brede-Hoolstraat 2 / 6274 NG REIJMERSTOK / NL;+31 434574078-4574078;#;www.jefwoutersinstallaties.nl;583.414.390.000.000;5.080.119.580.000.000;300044846;1;1;1
Jenniskens Techniek Rijkevoort;Kampweg 5 / 5447 NK RYKEVOORT / NL;+31 485372736;info@jenniskenstechniek.nl;www.jenniskenstechniek.nl;588.469.550.000.000;5.165.408.870.000.000;300043909;1;1;
Joost Beers Installatietechniek;Lorentzstraat 6A / 1821 BR ALKMAAR / NL;#;#;#;477.056.400.000.000;5.262.708.100.000.000;11134739;1;1;1
Kaandorp-Wijnker BV;Charlottaring 2 / 1761 AX ANNA PAULOWNA / NL;+31 223521500;info@kaandorp-wijnker.nl;https://kaandorp-wijnker.nl;480.839.740.000.000;5.286.140.620.000.000;300051931;1;1;1
Kevin Hoes;Jan Pieterzondervanweg 9 / 2031 AB HAARLEM / NL;+31 6 2905 1018;info@kevinhoes.nl;www.kevinhoes.nl;460.899.340.000.000;5.232.898.990.000.000;300051414;1;1;1
Kiekebos Klimaat & Duurzaam;Westerstouwe 31 / 7951 KH STAPHORST / NL;+31 522-246783;info@kiekebosbakker.nl;www.kiekebos.nl;618.290.580.000.000;5.268.191.600.000.000;300043373;1;1;1
Klaver Klimaattechniek B.V.;Braken 83 / 1713 GC OBDAM / NL;+31 226451256;info@klaverklimaattechniek.nl;www.klaverklimaattechniek.nl;489.388.940.000.000;5.266.839.820.000.000;10063147;1;1;1
Kloeze Installatietechniek;Hoofdstraat 109 / 9501 CR STADSKANAAL / NL;+31 599618886;info@kloeze.nl;www.kloeze.nl;696.163.180.000.000;5.298.158.830.000.000;11139277;1;1;1
Kruisselbrink Installaties;Leeghwaterweg 7 / 7102 JJ WINTERSWYK / NL;+31 543564478;info@kruisselbrinkinstallaties.nl;www.kruisselbrinkinstallaties.nl;671.388.580.000.000;5.195.767.300.000.000;11044313;1;1;1
LDG Installatietechniek BV;Nijverheidsweg 16 / 1442 LD PURMEREND / NL;+31 299654321;info@ldg.nl;www.ldg.nl;497.723.070.000.000;5.251.685.230.000.000;11035674;1;1;1
