ID;Naam;Adres;Postcode;Plaats;Tel;Website;Email;Type;Kleur;Longtitude;Latitude;AdresEnPostcode
44;Van der Velden;Ekkersrijt 4202;5692 DE;Son;0499 - 490092;www.veldenverwarming.nl;;Vitalo Bar;Grey aluminium 9007;54711667;515005824;Ekkersrijt 4202, Son 5692 DE
45;Van der Velden;Ekkersrijt 4202;5692 DE;Son;0499 - 490092;www.veldenverwarming.nl;;Vitalo Spa;Violet 0518;54711667;515005824;Ekkersrijt 4202, Son 5692 DE
46;Brouwer;Voorstondensestraat 34;6964 CD;Eerbeek;0313-659005;www.brouwer-eerbeek.nl/;;Subway;Chroom;60804277;521118871;Voorstondensestraat 34, Eerbeek 6964 CD
47;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Ribbon elektrisch;Black Matt 0557;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
48;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Charleston;Technoline 0325;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
49;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Radiapanel;Antraciet Metalic 0346;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
50;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Nova;White Aluminium 9006;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
51;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Vitalo Bar;Antraciet Metalic 0346;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
52;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Roda Twist Spa Air;Strawberry 3770;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
53;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Quaro;Amethyst Quartz 0516;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
54;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Roda Spa;Traffic White RAL 9016;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
55;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Aura E;Traffic White RAL 9016;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
56;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Metropolitan Spa;Prussian Blue 0555;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
57;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Nobis;Chroom;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
58;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Yucca symetrisch;Chroom;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
59;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Nova Neo;Antraciet Metalic 0346;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
60;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Radiavector;Titane 0335;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
61;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Alura Tech;Pure White RAL 9010;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
62;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Fare Tech;Antraciet RAL 7016;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
63;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Subway;Chroom;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
64;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Metropolitan horizontaal;Orange Quartz 0528;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
65;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Universal;Inox look 0332;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
66;Zehnder;Lingenstraat 2;8028 PM ;Zwolle;038-4296911;www.zehnder.nl;verwarming@zehnder.nl;Excelsior;Antraciet Metalic 0346;61644566;525348987;Lingenstraat 2, Zwolle 8028 PM 
67;Van Erkel Design Radiatoren;Tiendweg Oost 6 ;2941 BV;Lekkerkerk ;0180-663834;www.design-radiator.eu;;Charleston;Technoline 0325;46911796;519035068;Tiendweg Oost 6 , Lekkerkerk  2941 BV
68;Van Erkel Design Radiatoren;Tiendweg Oost 6 ;2941 BV;Lekkerkerk ;0180-663834;www.design-radiator.eu;;Charleston;Zwart;46911796;519035068;Tiendweg Oost 6 , Lekkerkerk  2941 BV
69;Van Erkel Design Radiatoren;Tiendweg Oost 6 ;2941 BV;Lekkerkerk ;0180-663834;www.design-radiator.eu;;Charleston;Traffic White RAL 9016;46911796;519035068;Tiendweg Oost 6 , Lekkerkerk  2941 BV
70;Van Erkel Design Radiatoren;Tiendweg Oost 6 ;2941 BV;Lekkerkerk ;0180-663834;www.design-radiator.eu;;Bank-Radiator;Zwart;46911796;519035068;Tiendweg Oost 6 , Lekkerkerk  2941 BV
71;Van Erkel Design Radiatoren;Tiendweg Oost 6 ;2941 BV;Lekkerkerk ;0180-663834;www.design-radiator.eu;;Metropolitan;Beige Quartz 0523;46911796;519035068;Tiendweg Oost 6 , Lekkerkerk  2941 BV
72;Van Erkel Design Radiatoren;Tiendweg Oost 6 ;2941 BV;Lekkerkerk ;0180-663834;www.design-radiator.eu;;Metropolitan Bar;Ruby Red RAL 3003;46911796;519035068;Tiendweg Oost 6 , Lekkerkerk  2941 BV
73;Van Erkel Design Radiatoren;Tiendweg Oost 6 ;2941 BV;Lekkerkerk ;0180-663834;www.design-radiator.eu;;Roda Air;Grey aluminium 9007;46911796;519035068;Tiendweg Oost 6 , Lekkerkerk  2941 BV
74;Plieger Hilversum;Nieuwe Havenweg 51;1216 BL;Hilversum;035-6238140;http://www.plieger.nl/consument/vestigingen/hilversum/;;Charleston;Traffic White RAL 9016;51418257;522238408;Nieuwe Havenweg 51, Hilversum 1216 BL
75;Plieger Hilversum;Nieuwe Havenweg 51;1216 BL;Hilversum;035-6238140;http://www.plieger.nl/consument/vestigingen/hilversum/;;Subway;;51418257;522238408;Nieuwe Havenweg 51, Hilversum 1216 BL
76;Nijhof;Minervaweg 3;3741 GR;Baarn;035 548 6111;https://www.nijhofbaarn.nl/;info@nijhofbaarn.nl;Subway;;52569161;522233471;Minervaweg 3, Baarn 3741 GR
77;Centragas van Galen;Mollerusweg 2-6;2031 BZ;Haarlem;023-5513838;https://www.centragas.nl/showroom/;info@centragas.nl;Charleston Klinik;Traffic White RAL 9016;46622657;523924681;Mollerusweg 2-6, Haarlem 2031 BZ
78;Centragas van Galen;Mollerusweg 2-6;2031 BZ;Haarlem;023-5513838;https://www.centragas.nl/showroom/;info@centragas.nl;Lateo Neo;Traffic White RAL 9016;46622657;523924681;Mollerusweg 2-6, Haarlem 2031 BZ
79;Centragas van Galen;Mollerusweg 2-6;2031 BZ;Haarlem;023-5513838;https://www.centragas.nl/showroom/;info@centragas.nl;Charleston Bar;Traffic White RAL 9016;46622657;523924681;Mollerusweg 2-6, Haarlem 2031 BZ
80;Centragas van Galen;Mollerusweg 2-6;2031 BZ;Haarlem;023-5513838;https://www.centragas.nl/showroom/;info@centragas.nl;Radiapanel;Natura 0035;46622657;523924681;Mollerusweg 2-6, Haarlem 2031 BZ
81;Centragas van Galen;Mollerusweg 2-6;2031 BZ;Haarlem;023-5513838;https://www.centragas.nl/showroom/;info@centragas.nl;Excelsior;White Quartz 0521;46622657;523924681;Mollerusweg 2-6, Haarlem 2031 BZ
82;Centragas van Galen;Mollerusweg 2-6;2032 BZ;Haarlem;023-5513838;https://www.centragas.nl/showroom/;info@centragas.nl;Metropolitan;Titane 0335;46622657;523924681;Mollerusweg 2-6, Haarlem 2032 BZ
83;Centragas van Galen;Mollerusweg 2-6;2033 BZ;Haarlem;023-5513838;https://www.centragas.nl/showroom/;info@centragas.nl;Plano;Traffic White RAL 9016;46622657;523924681;Mollerusweg 2-6, Haarlem 2033 BZ
84;Centragas van Galen;Mollerusweg 2-6;2034 BZ;Haarlem;023-5513838;https://www.centragas.nl/showroom/;info@centragas.nl;Radiavector;Traffic White RAL 9016;46622657;523924681;Mollerusweg 2-6, Haarlem 2034 BZ
85;Centragas van Galen;Mollerusweg 2-6;2035 BZ;Haarlem;023-5513838;https://www.centragas.nl/showroom/;info@centragas.nl;Stana;Antraciet RAL 7016;46622657;523924681;Mollerusweg 2-6, Haarlem 2035 BZ
86;Centragas van Galen;Mollerusweg 2-6;2036 BZ;Haarlem;023-5513838;https://www.centragas.nl/showroom/;info@centragas.nl;Charleston;4x demo bruin, beige, antraciet en Technoline;46622657;523924681;Mollerusweg 2-6, Haarlem 2036 BZ
87;Centragas van Galen;Mollerusweg 2-6;2037 BZ;Haarlem;023-5513838;https://www.centragas.nl/showroom/;info@centragas.nl;Fina Bar;Antraciet RAL 7016;46622657;523924681;Mollerusweg 2-6, Haarlem 2037 BZ
88;Centragas van Galen;Mollerusweg 2-6;2038 BZ;Haarlem;023-5513838;https://www.centragas.nl/showroom/;info@centragas.nl;Charleston Bank;Beige;46622657;523924681;Mollerusweg 2-6, Haarlem 2038 BZ
89;Plieger Utrecht;Amsterdamsestraatweg 632;3555 HX;Utrecht;030-2441925;http://www.plieger.nl/consument/vestigingen/utrecht/;toonzaal.utrecht@plieger.nl;Vitalo Bar;Traffic White RAL 9016;50801243;521119720;Amsterdamsestraatweg 632, Utrecht 3555 HX
90;Plieger Utrecht;Amsterdamsestraatweg 632;3555 HX;Utrecht;030-2441925;http://www.plieger.nl/consument/vestigingen/utrecht/;toonzaal.utrecht@plieger.nl;Metropolitan Bar;Traffic White RAL 9016;50801243;521119720;Amsterdamsestraatweg 632, Utrecht 3555 HX
91;Plieger Arnhem;De Overmaat 60;6831 AJ;Arnhem;026-3272977;http://www.plieger.nl/consument/vestigingen/arnhem/;toonzaal.arnhem@plieger.nl;Subway;Traffic White RAL 9016;58837508;519535383;De Overmaat 60, Arnhem 6831 AJ
92;Tis Stiens;Moundyk 3;9051 AH;Stiens;085-2084160;www.tis-stiens.nl;info@tis-stiens.nl;Nova Spa;Jet Black RAL 9005;57589660;532574990;Moundyk 3, Stiens 9051 AH
93;Tis Stiens;Moundyk 3;9051 AH;Stiens;085-2084160;www.tis-stiens.nl;info@tis-stiens.nl;Lateo;Traffic White RAL 9016;57589660;532574990;Moundyk 3, Stiens 9051 AH
94;Tis Stiens;Moundyk 3;9051 AH;Stiens;085-2084160;www.tis-stiens.nl;info@tis-stiens.nl;Yucca;Chroom;57589660;532574990;Moundyk 3, Stiens 9051 AH
95;Tis Stiens;Moundyk 3;9051 AH;Stiens;085-2084160;www.tis-stiens.nl;info@tis-stiens.nl;Charleston;Technoline 0325;57589660;532574990;Moundyk 3, Stiens 9051 AH
96;Bex Badkamer Expert;Julianaweg 137a;1131 DH;Volendam;0299-399460;http://www.bexvolendam.nl/;info@bexvolendam.nl;Metropolitan Bar;Antraciet;50767237;525004700;Julianaweg 137a, Volendam 1131 DH
97;Bex Badkamer Expert;Julianaweg 137a;1131 DH;Volendam;0299-399460;http://www.bexvolendam.nl/;info@bexvolendam.nl;Nova;Brown Quartz 0529;50767237;525004700;Julianaweg 137a, Volendam 1131 DH
98;Bex Badkamer Expert;Julianaweg 137a;1131 DH;Volendam;0299-399460;http://www.bexvolendam.nl/;info@bexvolendam.nl;Metropolitan;Sand Quartz 0522;50767237;525004700;Julianaweg 137a, Volendam 1131 DH
99;Bex Badkamer Expert;Julianaweg 137a;1131 DH;Volendam;0299-399460;http://www.bexvolendam.nl/;info@bexvolendam.nl;Metropolitan Spa;Traffic White RAL 9016;50767237;525004700;Julianaweg 137a, Volendam 1131 DH
100;Bex Badkamer Expert;Julianaweg 137a;1131 DH;Volendam;0299-399460;http://www.bexvolendam.nl/;info@bexvolendam.nl;Charleston;Technoline 0325;50767237;525004700;Julianaweg 137a, Volendam 1131 DH
101;H & R Tegels en sanitair;Nijverheidsweg 25;2031 CN;Haarlem;023 - 526 14 26;http://www.henrtegels.nl/;info@henrtegels.nl;Metropolitan;Traffic White RAL 9016;46588553;523882263;Nijverheidsweg 25, Haarlem 2031 CN
102;H & R Tegels en sanitair;Nijverheidsweg 25;2031 CN;Haarlem;023 - 526 14 26;http://www.henrtegels.nl/;info@henrtegels.nl;Quaro;Traffic White RAL 9016;46588553;523882263;Nijverheidsweg 25, Haarlem 2031 CN
103;H & R Tegels en sanitair;Nijverheidsweg 25;2031 CN;Haarlem;023 - 526 14 26;http://www.henrtegels.nl/;info@henrtegels.nl;Subway;Traffic White RAL 9016;46588553;523882263;Nijverheidsweg 25, Haarlem 2031 CN
104;Plieger Groningen;Osloweg 55;9723 BG;Groningen;050-3188880;http://www.plieger.nl/consument/vestigingen/;toonzaal.groningen@plieger.nl;Metropolitan;;65961274;532116426;Osloweg 55, Groningen 9723 BG
105;Plieger Groningen;Osloweg 55;9723 BG;Groningen;050-3188880;http://www.plieger.nl/consument/vestigingen/;toonzaal.groningen@plieger.nl;Metropolitan Spa;;65961274;532116426;Osloweg 55, Groningen 9723 BG
106;Plieger Groningen;Osloweg 55;9723 BG;Groningen;050-3188880;http://www.plieger.nl/consument/vestigingen/;toonzaal.groningen@plieger.nl;Vitalo;;65961274;532116426;Osloweg 55, Groningen 9723 BG
107;Plieger Leeuwarden;Zwettestraat 29a;8912 AV;Leeuwarden;058-2123059;http://www.plieger.nl/consument/vestigingen/;toonzaal.leeuwarden@plieger.nl;Metropolitan Bar;;57694433;531902663;Zwettestraat 29a, Leeuwarden 8912 AV
108;Plieger Leeuwarden;Zwettestraat 29a;8912 AV;Leeuwarden;058-2123059;http://www.plieger.nl/consument/vestigingen/;toonzaal.leeuwarden@plieger.nl;Subway;;57694433;531902663;Zwettestraat 29a, Leeuwarden 8912 AV
109;Plieger Hengelo;Diamantstraat 5;7554 TA;Hengelo;074-2556565;http://www.plieger.nl/consument/vestigingen/;toonzaal.hengelo@plieger.nl;Metropolitan Spa;;67682527;522433330;Diamantstraat 5, Hengelo 7554 TA
110;Plieger Alkmaar;Toermalijnstraat 12b;1812 RL;Alkmaar;072-5414620;http://www.plieger.nl/consument/vestigingen/;toonzaal.alkmaar@plieger.nl;Subway;;47456665;526045525;Toermalijnstraat 12b, Alkmaar 1812 RL
111;Plieger Amersfoort;Nijverheidsweg Noord 95;3812 PL;Amersfoort;033-4220750;http://www.plieger.nl/consument/vestigingen/;toonzaal.amersfoort@plieger.nl;Subway;;53518460;521710321;Nijverheidsweg Noord 95, Amersfoort 3812 PL
112;Plieger Amersfoort;Nijverheidsweg Noord 95;3812 PL;Amersfoort;033-4220750;http://www.plieger.nl/consument/vestigingen/;toonzaal.amersfoort@plieger.nl;Metropolitan;;53518460;521710321;Nijverheidsweg Noord 95, Amersfoort 3812 PL
113;Plieger Apeldoorn;Saba 12;7332 BH;Apeldoorn;055-5389999;http://www.plieger.nl/consument/vestigingen/;toonzaal.apeldoorn@plieger.nl;Subway;;59855899;521843121;Saba 12, Apeldoorn 7332 BH
114;Plieger Haarlem;Heringaweg 6C;2031 BW;Haarlem;023-5539955;http://www.plieger.nl/consument/vestigingen/;toonzaal.haarlem@plieger.nl;Quaro;;46557331;523930571;Heringaweg 6C, Haarlem 2031 BW
115;Plieger Haarlem;Heringaweg 6C;2031 BW;Haarlem;023-5539955;http://www.plieger.nl/consument/vestigingen/;toonzaal.haarlem@plieger.nl;Metropolitan;;46557331;523930571;Heringaweg 6C, Haarlem 2031 BW
116;Plieger Zwolle;Schokkerweg 3;8042 PC;Zwolle;038-4250010;http://www.plieger.nl/consument/vestigingen/;toonzaal.zwolle@plieger.nl;Subway;;60563647;525174050;Schokkerweg 3, Zwolle 8042 PC
117;Plieger Zwolle;Schokkerweg 3;8042 PC;Zwolle;038-4250010;http://www.plieger.nl/consument/vestigingen/;toonzaal.zwolle@plieger.nl;Excelsior;;60563647;525174050;Schokkerweg 3, Zwolle 8042 PC
118;Plieger Capelle;Rivium 2e straat 2;2909 LG;Capelle a/d Ijssel;010-2885100;http://www.plieger.nl/consument/vestigingen/;toonzaal.capelle@plieger.nl;Subway;;45438806;519109596;Rivium 2e straat 2, Capelle a/d Ijssel 2909 LG
119;Plieger Capelle;Rivium 2e straat 2;2909 LG;Capelle a/d Ijssel;010-2885100;http://www.plieger.nl/consument/vestigingen/;toonzaal.capelle@plieger.nl;Metropolitan;;45438806;519109596;Rivium 2e straat 2, Capelle a/d Ijssel 2909 LG
120;Badkamer evolutie;Atoomweg 514a;3542 AB;Utrecht;;http://badkamerevolutie.nl/;info@badkamerevolutie.nl;Metropolitan Bar;;50437811;521186218;Atoomweg 514a, Utrecht 3542 AB
121;Badkamer evolutie;Atoomweg 514a;3542 AB;Utrecht;;http://badkamerevolutie.nl/;info@badkamerevolutie.nl;Metropolitan Spa;;50437811;521186218;Atoomweg 514a, Utrecht 3542 AB
122;Badkamer evolutie;Atoomweg 514a;3542 AB;Utrecht;;http://badkamerevolutie.nl/;info@badkamerevolutie.nl;Quaro;;50437811;521186218;Atoomweg 514a, Utrecht 3542 AB
123;Badkamer evolutie;Atoomweg 514a;3542 AB;Utrecht;;http://badkamerevolutie.nl/;info@badkamerevolutie.nl;Subway elektrisch;;50437811;521186218;Atoomweg 514a, Utrecht 3542 AB
124;Badkamer evolutie;Atoomweg 514a;3542 AB;Utrecht;;http://badkamerevolutie.nl/;info@badkamerevolutie.nl;Nova;;50437811;521186218;Atoomweg 514a, Utrecht 3542 AB
125;Badkamer evolutie;Atoomweg 514a;3542 AB;Utrecht;;http://badkamerevolutie.nl/;info@badkamerevolutie.nl;Vitalo Bar;;50437811;521186218;Atoomweg 514a, Utrecht 3542 AB
